"Variable","Value","Std. Error","t value","p value"
"fixed.acidity",-0.330007685447845,0.0824113110459294,-4.00439795532346,0
"volatile.acidity",-4.40568728141747,0.661679176239269,-6.6583435592725,0
"citric.acid",0.845355598864275,0.79089389305199,1.06886095124862,0.285
"residual.sugar",-0.060996276843962,0.0682537710496214,-0.893668963720948,0.371
"chlorides",-8.93434344077597,2.36825760186052,-3.77253869416786,0
"free.sulfur.dioxide",0.00184037816062209,0.0117727588157022,0.156325139199101,0.876
"total.sulfur.dioxide",-0.00426106765096952,0.00380382238081667,-1.12020678790335,0.263
"density",273.446919191129,1.63731457715565,167.009396365457,0
"pH",-4.14660090400008,0.863993383136699,-4.79934335717477,0
"sulphates",1.77700983844221,0.544502584145228,3.26354711655189,0.001
"alcohol",1.11096000964511,0.0948460935322558,11.7132922218593,0
"0|1",261.279402658631,1.67912077213868,155.604889769687,0
"1|2",268.289427620187,1.67581987411924,160.094430053941,0
